종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
227950,엔투텍,KOSDAQ,중견기업부,700,42,6.38,660,707,649,974225,674305793,72502871000,103575530
291230,엔피,KOSDAQ,중견기업부,2825,160,6,2705,2840,2665,489224,1365970425,1.23525E+11,43725551
198080,엔피디,KOSDAQ,중견기업부,2250,-125,-5.26,2400,2400,2250,210516,481375205,48454166250,21535185
048830,엔피케이,KOSDAQ,중견기업부,1742,1,0.06,1741,1745,1732,24480,42552936,32617073866,18723923
096870,엘디티,KOSDAQ,벤처기업부,2955,30,1.03,2930,2970,2910,12681,37212930,19734672000,6678400
276240,엘리비젼,KONEX,일반기업부,677,78,13.02,677,677,677,1,677,5451974426,8053138
900140,엘브이엠씨홀딩스,KOSPI,,2215,-15,-0.67,2250,2265,2160,1175284,2587397515,3.80068E+11,171588411
138690,엘아이에스,KOSDAQ,관리종목(소속부없음),2730,0,0,0,0,0,0,0,1.83129E+11,67080306
290650,엘앤씨바이오,KOSDAQ,벤처기업부,34200,1350,4.11,33500,34400,33100,247337,8357710200,7.75823E+11,22684891
066970,엘앤에프,KOSDAQ GLOBAL,우량기업부,187700,37900,25.3,171900,191800,162200,2989715,5.38234E+11,6.80372E+12,36247825
156100,엘앤케이바이오,KOSDAQ,벤처기업부,8150,60,0.74,8400,8400,7910,127112,1024253460,1.62484E+11,19936743
311060,엘에이티,KONEX,일반기업부,11060,0,0,0,0,0,0,0,37715341020,3410067
073110,엘엠에스,KOSDAQ,중견기업부,6020,100,1.69,6040,6070,5920,10250,61335610,53552445100,8895755
083310,엘오티베큠,KOSDAQ,우량기업부,23800,600,2.59,23850,24300,22850,571753,13595152600,4.23879E+11,17810033
037950,엘컴텍,KOSDAQ,중견기업부,1555,-80,-4.89,1591,1617,1527,6942235,10909745167,1.31316E+11,84447519
170920,엘티씨,KOSDAQ,벤처기업부,8230,80,0.98,8240,8370,8060,32244,265610320,72621964420,8824054
058630,엠게임,KOSDAQ,우량기업부,6490,190,3.02,6500,6540,6320,127742,822830830,1.2684E+11,19543877
058970,엠로,KOSDAQ,기술성장기업부,66000,500,0.76,65500,68100,63900,235110,15521732300,7.4E+11,11212120
019590,엠벤처투자,KOSDAQ,중견기업부,902,-170,-15.86,1113,1195,851,3437011,3252286052,1.02798E+11,113966542
169330,엠브레인,KOSDAQ,중견기업부,2975,0,0,2975,3010,2975,4612,13748930,54314331050,18256918
097520,엠씨넥스,KOSPI,,29750,1700,6.06,28100,29800,28050,243796,7109415150,5.34838E+11,17977732
373170,엠아이큐브솔루션,KOSDAQ,벤처기업부,16750,-2450,-12.76,17600,17900,16260,295070,4935246730,82794077500,4942930
179290,엠아이텍,KOSDAQ,우량기업부,6980,70,1.01,6920,7150,6860,189030,1318214280,2.25284E+11,32275678
009780,엠에스씨,KOSDAQ,우량기업부,5530,90,1.65,5500,5550,5410,21925,120111200,97328000000,17600000
123040,엠에스오토텍,KOSDAQ,중견기업부,5360,160,3.08,5330,5420,5240,334616,1782371460,2.44728E+11,45658277
323230,엠에프엠코리아,KOSDAQ,중견기업부,1972,148,8.11,1850,2030,1825,1358011,2658269818,74420300308,37738489
032790,엠젠솔루션,KOSDAQ,벤처기업부,1665,-9,-0.54,1658,1700,1650,114444,190455760,52874677395,31756563
033160,엠케이전자,KOSDAQ,우량기업부,12100,440,3.77,11960,12100,11700,125483,1499692780,2.67003E+11,22066331
347890,엠투아이,KOSDAQ,벤처기업부,7720,160,2.12,7530,7890,7530,47369,366976970,1.29682E+11,16798204
033310,엠투엔,KOSDAQ,중견기업부,3045,85,2.87,2990,3065,2990,64430,194978225,1.22842E+11,40342231
259630,엠플러스,KOSDAQ,벤처기업부,12290,870,7.62,11730,12300,11600,226994,2736583260,1.50951E+11,12282402
115960,연우,KOSDAQ,우량기업부,14930,-120,-0.8,15060,15150,14870,19033,284919730,1.85102E+11,12398000
060850,영림원소프트랩,KOSDAQ,벤처기업부,8390,10,0.12,8480,8520,8320,16538,139274700,68219090000,8131000
014440,영보화학,KOSPI,,3460,30,0.87,3480,3500,3430,21192,73246850,69200000000,20000000
143540,영우디에스피,KOSDAQ,벤처기업부,887,34,3.99,862,887,853,93561,81533314,39560106865,44599895
111770,영원무역,KOSPI,,54300,700,1.31,53800,54300,52200,112148,5959654300,2.40611E+12,44311468
009970,영원무역홀딩스,KOSPI,,77700,-400,-0.51,78300,79400,77000,9038,702008700,1.05949E+12,13635592
003520,영진약품,KOSPI,,2205,45,2.08,2175,2225,2130,287489,632021105,4.03278E+11,182892731
000670,영풍,KOSPI,,500000,16500,3.41,493000,500000,484500,1663,817677500,9.2102E+11,1842040
036560,영풍정밀,KOSDAQ,우량기업부,12310,200,1.65,12230,12420,12160,114011,1402428820,1.93883E+11,15750000
006740,영풍제지,KOSPI,,4095,-125,-2.96,4360,4420,4030,38981295,1.62802E+11,1.90344E+11,46482148
012280,영화금속,KOSPI,,989,6,0.61,1000,1004,983,298688,297161222,52807165445,53394505
265560,영화테크,KOSDAQ,벤처기업부,11670,150,1.3,11560,11820,11560,168789,1971397530,1.24754E+11,10690180
012160,영흥,KOSPI,,555,5,0.91,550,560,546,100129,55103921,56227256460,101310372
036000,예림당,KOSDAQ,중견기업부,1762,31,1.79,1751,1766,1723,14075,24505671,40586396074,23034277
250930,예선테크,KOSDAQ,벤처기업부,757,29,3.98,738,770,732,74623,56240643,24981333080,33000440
053280,예스24,KOSDAQ,우량기업부,4500,60,1.35,4510,4550,4440,41335,186511265,1.125E+11,25000000
